Tweet,Date,Sentiment_Vader,Sentiment_Blob
AAPLThe 10 best Steve Jobs emails everhttptco82G1kL94tx,2020-01-01,0.6369,1.0
 Why AAPL Stock Had a MiniFlash Crash Today AAPL aapl,2020-01-01,-0.4019,0.0
My cat only chews  cords Such an AppleSnob,2020-01-01,0.0,0.0
I agree with  that the IndividualInvestor should own not trade Apple AAPL its extended so todays pullback is good to see,2020-01-01,0.6597,0.6499999999999999
Nobody expects the Spanish Inquisition AAPL,2020-01-02,-0.296,0.0
AAPL5 Rocket Stocks to Buy for December Gains Apple and MorehttptcoeG5XhXdLLS,2020-01-02,0.34,0.0
Top 3 all  tablets Damn right,2020-01-02,-0.2263,0.39285714285714285
CNBCTV Apples margins better than expected aapl,2020-01-02,0.4404,0.2
Apple Inc Flash Crash What You Need to Know AAPL,2020-01-03,-0.4019,0.0
AAPLThis Presentation Shows What Makes The Worlds Biggest Tech Companies httptcoqlH9PqSoSd,2020-01-03,0.0,0.0
WTF MY BATTERY WAS 31 ONE SECOND AGO AND NOW IS 29 WTF IS THIS ,2020-01-03,-0.8769,-0.3333333333333333
Apple Watch Tops Search Engine List of Best Wearable Tech AAPL iWatch AppleWatch,2020-01-04,0.8176,1.0
The BestDesigned iPhone Apps In the World According to ,2020-01-04,0.0,0.0
 Bought my  at the  storepretty good logo match  cant wait to install it,2020-01-04,0.4404,0.7
 Contact sync between Yosemite and iOS8 is seriously screwed up It used to be much more stable in the past icloud isync,2020-01-04,-0.3415,-0.027777777777777773
aapl  Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute Thanks dummies rumors,2020-01-05,0.3612,0.00833333333333334
WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM  IPHONE YOU CANNOT USE IT ON VERIZON NETWORK,2020-01-05,-0.34,0.0
 John Cantlie has been a prisoner of ISIS for 739 days show you have not abandoned him Sign,2020-01-05,-0.2547,0.0
 thanks for xtra checkin at upper westside store but why are appointments running almost 50 minutes late,2020-01-06,0.2382,-0.033333333333333326
Why AAPL Stock Had a MiniFlash Crash Today Money Morning Nothing the analysts suggested would make a widel,2020-01-06,-0.4019,0.0
AAPL dip only momentarilyjust an aberration in the equity worldAAPL,2020-01-06,0.0,0.0
The JH Hines Staff with their newly issued  ConnectED Macbook and iPad mini txed,2020-01-06,0.0,0.13636363636363635
 You need an IP portfolio to defend against big companies  just look at   court battles,2020-01-07,-0.3818,0.0
 For the love of GAWD CENTER the 1on the damn calendar app You fixed it once its back off center AGAIN,2020-01-07,0.3612,0.08
i get the storage almost full notification literally every 5 minutes chill ,2020-01-07,0.0,0.35
I had to do made the switch from iPhone 6 to the galaxy note edge  keep up,2020-01-08,0.0,0.0
 me  Cant stand those ppl with  stickers everywhere 910 they prob just bought an iPod shuffle,2020-01-08,0.0,0.0
Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-08,0.5267,0.0
Latest Apple Products Leading in Efficiency  iPhone iPad plugloads,2020-01-08,0.3612,0.5
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-09,0.5267,0.0
Good be huge Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-09,0.8225,0.5499999999999999
  i cite the 4th amendment as a retort,2020-01-09,0.0,0.0
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-10,0.5267,0.0
   Thanksthinking of upgrading,2020-01-10,0.0,0.0
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-10,0.5267,0.0
Way to stay relevant  Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-10,0.5267,0.4
Apple Inc Flash Crash What You Need to Know AAPL,2020-01-11,-0.4019,0.0
"httptcohpC7p1rHvA
need help on using your Apple iPhone6 amp iPhone6Plus  checkitout",2020-01-11,0.4019,0.0
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-11,0.5267,0.0
That flash crash really screwed with a lot of traders today Not me Im more determined than ever to make trading work for me AAPL,2020-01-12,-0.5423,0.35
hall The JH Hines Staff with their newly issued  ConnectED Macbook and iPad mini txed txed,2020-01-12,0.0,0.13636363636363635
Nigga update yall headphones ,2020-01-12,0.0,0.0
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-12,0.5267,0.0
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-13,0.5267,0.0
Ok  You win I wont use your browser anymore since it keeps closing on me Literally 8 times today I counted,2020-01-13,0.7184,0.65
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-13,0.5267,0.0
  I cite the us constitution where judges cannot pass laws Violation of the separation of powers,2020-01-13,0.3875,0.0
 U need to get ur fucking shit together and let me txt while on YouTube,2020-01-14,-0.5984,-0.2
  Wish we could prosecute the admin for violation of privacy and criminal search and seizure,2020-01-14,-0.765,-0.4
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-14,0.5267,0.0
  Furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the US gov,2020-01-15,-0.6124,0.0
AAPLHeres why Apple droppedhttptcoqVpNCJv1pb,2020-01-15,0.0,0.0
This one chart explains cooks affect on  Paints an interesting story What do you think,2020-01-15,0.4019,0.5
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-15,0.5267,0.0
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-16,0.5267,0.0
Final AAPL PutCallRatios for Monday December 1 2014,2020-01-16,0.0,0.0
AAPL Launches Red Apple Logo for World AIDS Day Dec 1 is World AIDS Day and the red Apple logo will be abl,2020-01-16,0.0,0.0
hey  fuck you,2020-01-17,-0.5423,-0.4
5 Companies Growing Faster Than Apple Inc AAPL,2020-01-17,0.1779,0.0
 why doesnt your people explain precautions when buying an expensive laptop,2020-01-17,0.0,-0.5
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-17,0.5267,0.0
  u was bored huh,2020-01-18,-0.2732,-0.5
tim  You need an IP portfolio to defend against big companies  just look at   court battles,2020-01-18,-0.3818,0.0
As a die hard  customer I must say I am truly displeased with the customer service I was given today badservice Apple,2020-01-18,-0.6486,-0.2916666666666667
 made it clear today that I as a customer are not worth a measly 79 An employee gave mis info and they will not stand behind it,2020-01-19,0.2344,-0.25416666666666665
INSPIRED by  and cook on WorldAIDSDAY 100 of AppsforRED in  go to fight AIDs Get  and  ,2020-01-19,0.3254,0.0
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-19,0.5267,0.0
16GB  iPad Air 2 Retina WiFi Tablet 400  Free Shipping via EBAY CyberMonday firstworldproblems,2020-01-19,0.5106,0.4
Photo Love IOS 8   Love IOS8 NoCrop iphone young phone screen capturescream boy,2020-01-20,0.8555,0.3666666666666667
Why does  force people to use its VPN built in to iOS8 Off button doesnt work FFS Like I want Apples NSA data collection service,2020-01-20,0.4223,0.0
Then how the hell did I take this screenshot,2020-01-20,-0.6808,0.0
Department cites 18th century federal law to get  to unlock iPhones,2020-01-21,0.0,0.0
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-21,0.5267,0.0
Buy round lot on the open MT  AAPL stock briefly dove 64 today Analysts not sure why,2020-01-21,-0.2411,-0.1125
3G is draining my battery fix this ,2020-01-21,0.0,0.0
My daughters  iPod stolen To the thief try working as hard to earn one  like my daughter had to buy hers LosingFaithInPeople,2020-01-22,-0.6705,-0.2916666666666667
 your chargers suck ass They just love to break,2020-01-22,-0.296,0.5
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-22,0.5267,0.0
